"Player_ID";"Activity_Date";"Deposit_Amount";"Withdraw_Amount";"Number_of_Games_Played";"Loyalty_Points"
547;"2/10/2022";10000;0;0;100
497;"2/10/2022";300;0;0;3
690;"2/10/2022";6000;0;0;60
587;"2/10/2022";25000;0;0;250
856;"2/10/2022";6000;0;0;60
214;"2/10/2022";5000;0;0;50
488;"2/10/2022";8000;0;0;80
136;"2/10/2022";2000;0;0;20
338;"2/10/2022";800;0;0;8
911;"2/10/2022";2000;0;0;20
23;"2/10/2022";2000;0;0;20
455;"2/10/2022";5000;0;0;50
557;"2/10/2022";10000;0;0;100
850;"2/10/2022";1000;0;0;10
821;"2/10/2022";10000;0;0;100
710;"2/10/2022";35000;0;0;350
888;"2/10/2022";1000;0;0;10
844;"2/10/2022";500;0;0;5
978;"2/10/2022";1400;0;0;14
467;"2/10/2022";50000;0;0;500
431;"2/10/2022";500;0;0;5
158;"2/10/2022";5000;0;0;50
893;"2/10/2022";200;0;0;2
851;"2/10/2022";200;0;0;2
122;"2/10/2022";1000;0;0;10
684;"2/10/2022";100;0;0;1
484;"2/10/2022";1000;0;0;10
566;"2/10/2022";5000;0;0;50
141;"2/10/2022";10000;0;0;100
6;"2/10/2022";4000;0;0;40
502;"2/10/2022";1650;0;0;17
772;"2/10/2022";30000;0;0;300
939;"2/10/2022";1000;0;0;10
338;"2/10/2022";500;0;0;5
9;"2/10/2022";1587;0;0;16
548;"2/10/2022";10000;0;0;100
604;"2/10/2022";2000;0;0;20
689;"2/10/2022";2000;0;0;20
539;"2/10/2022";1100;0;0;11
604;"2/10/2022";5000;0;0;50
30;"2/10/2022";20000;0;0;200
909;"2/10/2022";2000;0;0;20
656;"2/10/2022";1000;0;0;10
745;"2/10/2022";500;0;0;5
305;"2/10/2022";500;0;0;5
193;"2/10/2022";6000;0;0;60
289;"2/10/2022";5000;0;0;50
382;"2/10/2022";50;0;0;1
104;"2/10/2022";10000;0;0;100
152;"2/10/2022";5000;0;0;50
71;"2/10/2022";1000;0;0;10
979;"2/10/2022";5000;0;0;50
259;"2/10/2022";2500;0;0;25
734;"2/10/2022";5000;0;0;50
